URL,Schema Type,Severity,Property,Why It Matters
https://stackoptic.com/,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://stackoptic.com/,WebSite,recommended,author,Site has no top-level author/owner declared
https://stackoptic.com/,Offer,recommended,availability,Offer has no in-stock signal; agents cannot tell if buyable
https://stackoptic.com/,Offer,recommended,seller,Offer has no seller attribution
https://stackoptic.com/,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://stackoptic.com/,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://stackoptic.com/,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://stackoptic.com/,WebSite,recommended,publisher,Site has no top-level publisher declared
https://stackoptic.com/about,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://stackoptic.com/about,WebSite,recommended,author,Site has no top-level author/owner declared
https://stackoptic.com/about,Offer,recommended,availability,Offer has no in-stock signal; agents cannot tell if buyable
https://stackoptic.com/about,Offer,recommended,seller,Offer has no seller attribution
https://stackoptic.com/about,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://stackoptic.com/about,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://stackoptic.com/about,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://stackoptic.com/about,WebSite,recommended,publisher,Site has no top-level publisher declared
https://stackoptic.com/contact,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://stackoptic.com/contact,WebSite,recommended,author,Site has no top-level author/owner declared
https://stackoptic.com/contact,Offer,recommended,availability,Offer has no in-stock signal; agents cannot tell if buyable
https://stackoptic.com/contact,Offer,recommended,seller,Offer has no seller attribution
https://stackoptic.com/contact,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://stackoptic.com/contact,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://stackoptic.com/contact,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://stackoptic.com/contact,WebSite,recommended,publisher,Site has no top-level publisher declared
https://stackoptic.com/technologies,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://stackoptic.com/technologies,WebSite,recommended,author,Site has no top-level author/owner declared
https://stackoptic.com/technologies,Offer,recommended,availability,Offer has no in-stock signal; agents cannot tell if buyable
https://stackoptic.com/technologies,Offer,recommended,seller,Offer has no seller attribution
https://stackoptic.com/technologies,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://stackoptic.com/technologies,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://stackoptic.com/technologies,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://stackoptic.com/technologies,WebSite,recommended,publisher,Site has no top-level publisher declared
https://stackoptic.com/blog,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://stackoptic.com/blog,WebSite,recommended,author,Site has no top-level author/owner declared
https://stackoptic.com/blog,Offer,recommended,availability,Offer has no in-stock signal; agents cannot tell if buyable
https://stackoptic.com/blog,Offer,recommended,seller,Offer has no seller attribution
https://stackoptic.com/blog,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://stackoptic.com/blog,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://stackoptic.com/blog,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://stackoptic.com/blog,WebSite,recommended,publisher,Site has no top-level publisher declared
https://stackoptic.com/disclaimer,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://stackoptic.com/disclaimer,WebSite,recommended,author,Site has no top-level author/owner declared
https://stackoptic.com/disclaimer,Offer,recommended,availability,Offer has no in-stock signal; agents cannot tell if buyable
https://stackoptic.com/disclaimer,Offer,recommended,seller,Offer has no seller attribution
https://stackoptic.com/disclaimer,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://stackoptic.com/disclaimer,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://stackoptic.com/disclaimer,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://stackoptic.com/disclaimer,WebSite,recommended,publisher,Site has no top-level publisher declared
https://stackoptic.com/privacy,WebSite,recommended,image,Site has no logo / hero image declared in structured data
https://stackoptic.com/privacy,WebSite,recommended,author,Site has no top-level author/owner declared
https://stackoptic.com/privacy,Offer,recommended,availability,Offer has no in-stock signal; agents cannot tell if buyable
https://stackoptic.com/privacy,Offer,recommended,seller,Offer has no seller attribution
https://stackoptic.com/privacy,Offer,recommended,itemCondition,Offer has no new/used condition declared
https://stackoptic.com/privacy,Offer,recommended,url,Offer has no purchase URL; agents cannot deep-link to checkout
https://stackoptic.com/privacy,WebSite,recommended,datePublished,No site-level publish date for crawler context
https://stackoptic.com/privacy,WebSite,recommended,publisher,Site has no top-level publisher declared
