Source URL,Target URL,Link Text,Link Type,Follow Type,HTTP Status,Redirect Chain,Content Type,In Navigation,Link Depth,Link Quality Score
https://mx.allabout.network/,https://mx.allabout.network/,Skip to main content,Internal Page,Follow,ERR,,html,No,0,100.00
https://mx.allabout.network/,https://mx.allabout.network/books/,Books,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/,https://mx.allabout.network/learn/,Learn,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/,https://mx.allabout.network/services/,Services,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/,https://mx.allabout.network/blog/,Blog,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/,https://mx.allabout.network/about/,About,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/,https://mx.allabout.network/books/introduction.html,Get the Free Intro,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/,https://mx.allabout.network/books/the-author.html,"Training
            Workshops for teams, content strategists, and leadership.",Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/,https://mx.allabout.network/services/our-services.html,"Consultancy
            MX audits, mentoring, and implementation support.",Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/,https://mx.allabout.network/about/printworks.html,"MX Printworks
            Publishing for the AI age. Books built for humans and machines.",Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/,https://mx.allabout.network/books/handbook.html,"MX: The Handbook
            Patterns you can implement this week.",Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/,https://mx.allabout.network/books/protocols.html,"MX: The Protocols
            The definitive reference. Architecture, standards, and the five-stage journey.",Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/,https://mx.allabout.network/services/our-approach.html,"Mentoring
            Ongoing advisory for teams implementing MX. Architecture guidance and hands-on support.",Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/,https://mx.allabout.network/services/examples.html,"Examples
            MX in practice. Real-world implementations across different industries and platforms.",Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/,https://mx.allabout.network/about/contact.html,Get in touch,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/books/,https://mx.allabout.network/books/,Skip to main content,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/books/,https://mx.allabout.network/,,Internal Page,Follow,ERR,,html,No,0,80.00
https://mx.allabout.network/books/,https://mx.allabout.network/learn/,Learn,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/books/,https://mx.allabout.network/services/,Services,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/books/,https://mx.allabout.network/blog/,Blog,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/books/,https://mx.allabout.network/about/,About,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/books/,https://mx.allabout.network/books/handbook.html,Get the Handbook,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/books/,https://mx.allabout.network/books/introduction.html,Download Free,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/books/,https://mx.allabout.network/books/protocols.html,Learn More,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/books/,https://mx.allabout.network/books/the-author.html,Full Profile,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/books/,https://mx.allabout.network/books/training-vs-inference.html,Read,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/books/,https://mx.allabout.network/books/footnotes.html,View,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/books/,https://mx.allabout.network/books/appendices/,Browse,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/books/introduction.html,https://mx.allabout.network/books/introduction.html,Skip to main content,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/books/introduction.html,https://mx.allabout.network/,,Internal Page,Follow,ERR,,html,No,0,80.00
https://mx.allabout.network/books/introduction.html,https://mx.allabout.network/books/,Books,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/books/introduction.html,https://mx.allabout.network/learn/,Learn,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/books/introduction.html,https://mx.allabout.network/services/,Services,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/books/introduction.html,https://mx.allabout.network/blog/,Blog,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/books/introduction.html,https://mx.allabout.network/about/,About,Internal Page,Follow,ERR,,html,No,1,100.00
https://mx.allabout.network/books/introduction.html,https://mx.allabout.network/books/download-intro,Download PDF,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/books/introduction.html,https://mx.allabout.network/books/handbook.html,MX: The Handbook,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/books/introduction.html,https://mx.allabout.network/books/protocols.html,MX: The Protocols,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/books/handbook.html,https://mx.allabout.network/books/handbook.html,Skip to main content,Internal Page,Follow,ERR,,html,No,2,100.00
https://mx.allabout.network/books/handbook.html,https://mx.allabout.network/,,Internal Page,Follow,ERR,,html,No,0,80.00
https://mx.allabout.network/books/handbook.html,https://mx.allabout.network/books/,Books,Internal Page,Follow,ERR,,html,No,1,100.00
